[message-bus-kafka-emulator] 2026/06/14 11:57:10.750087 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:11.269088 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:12.423176 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:13.006153 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:13.867654 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:14.518693 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:15.253801 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:16.167773 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:16.326261 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:17.679126 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:17.983888 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:18.474752 [INFO] Получен системный сигнал ядра Linux [interrupt]. Инициирован Graceful Shutdown...
[message-bus-kafka-emulator] 2026/06/14 11:57:18.481187 [INFO] Все сетевые сокеты и gRPC соединения успешно закрыты. Сервер остановлен штатно.
